STATE,ST_CASE,VEH_NO,AGE,SEX,DRINKING,DRUGS,DOA,AgeCat
18,180251,1,31,1,1,0,0,17-32
34,340416,1,39,1,0,1,1,33-48
12,120946,2,34,2,0,0,0,33-48
13,131243,1,3,1,0,0,0,0-16
32,320280,0,14,1,0,0,1,0-16
49,490042,1,32,1,0,0,1,17-32
34,340154,2,71,2,0,0,0,65 and Above
39,390942,0,20,1,0,0,0,17-32
5,50443,3,30,2,0,0,0,17-32
47,470087,2,69,1,0,0,0,65 and Above
6,62392,1,21,1,1,1,1,17-32
34,340117,2,67,2,0,0,0,65 and Above
27,270321,1,70,2,0,0,0,65 and Above
6,63114,0,77,1,0,0,0,65 and Above
47,470631,1,20,2,0,0,0,17-32
12,121402,0,40,2,0,0,1,33-48
5,50489,2,33,1,0,0,0,33-48
54,540156,1,26,2,0,0,0,17-32
28,280075,1,30,1,0,0,0,17-32
1,10344,2,22,1,0,0,0,17-32
12,120471,1,39,2,0,0,0,33-48
34,340262,1,62,1,0,1,1,49-64
4,40125,2,28,1,0,0,0,17-32
55,550148,1,27,1,0,0,0,17-32
48,482471,0,94,1,0,0,0,65 and Above
28,280586,1,24,1,0,0,0,17-32
1,10245,1,51,1,1,0,1,49-64
40,400074,2,39,1,0,0,0,33-48
45,450372,0,63,1,0,0,1,49-64
12,120225,1,62,2,0,0,0,49-64
6,62380,1,58,2,0,0,0,49-64
47,470895,2,7,1,0,0,0,0-16
4,40176,2,53,2,0,0,0,49-64
42,420002,1,54,1,1,0,0,49-64
17,170358,2,25,2,0,0,0,17-32
39,390125,2,92,2,0,0,0,65 and Above
8,80049,1,86,1,0,0,0,65 and Above
47,470862,2,53,1,0,0,0,49-64
45,450105,2,56,1,0,0,0,49-64
31,310177,1,27,1,1,0,0,17-32
12,120551,0,76,1,0,0,1,65 and Above
6,63030,2,33,1,0,0,1,33-48
42,421025,0,63,1,1,0,0,49-64
21,210653,2,44,1,0,0,0,33-48
45,450359,1,57,1,1,0,1,49-64
12,120878,0,54,1,1,1,0,49-64
19,190054,1,58,1,1,0,1,49-64
39,390028,2,57,1,0,0,0,49-64
12,120406,2,46,1,0,0,0,33-48
37,370382,1,24,1,0,0,0,17-32
4,40574,2,70,2,0,0,0,65 and Above
37,370216,0,35,1,1,0,1,33-48
39,390583,1,32,1,1,0,0,17-32
6,61569,0,61,1,0,0,0,49-64
47,470474,1,2,2,0,0,0,0-16
2,20016,2,75,1,0,0,0,65 and Above
6,60698,1,53,1,1,0,0,49-64
17,170677,2,25,2,0,0,0,17-32
45,450146,3,50,1,0,0,0,49-64
26,260848,0,57,1,0,0,0,49-64
21,210530,1,30,1,0,0,1,17-32
48,482678,1,47,1,1,1,1,33-48
16,160073,1,28,2,0,0,0,17-32
12,122370,0,54,1,0,0,1,49-64
4,40431,1,36,1,0,0,0,33-48
24,240111,1,65,1,0,0,0,65 and Above
48,481170,1,23,1,1,0,1,17-32
12,121351,1,75,2,0,0,0,65 and Above
37,371014,1,77,2,0,0,0,65 and Above
6,61622,2,61,1,0,0,0,49-64
6,60495,1,19,1,0,0,0,17-32
47,470879,1,43,2,0,0,0,33-48
12,122243,2,26,1,0,0,0,17-32
47,470884,3,30,2,0,0,0,17-32
6,62826,1,25,1,0,0,1,17-32
26,260291,1,38,1,0,0,0,33-48
38,380021,2,63,2,0,0,0,49-64
8,80278,0,21,1,0,1,0,17-32
21,210256,2,27,2,0,0,0,17-32
18,180647,0,54,1,0,1,1,49-64
13,130027,2,57,2,0,0,0,49-64
6,62370,1,20,1,1,0,0,17-32
18,180703,1,27,2,1,0,1,17-32
15,150065,1,73,1,0,0,0,65 and Above
6,60297,0,16,1,0,0,1,0-16
17,170624,1,43,1,0,1,0,33-48
18,180657,0,44,1,0,0,0,33-48
17,170257,1,50,2,0,0,0,49-64
6,62011,1,30,1,0,0,0,17-32
8,80156,1,53,1,1,1,1,49-64
12,122294,1,32,1,0,0,0,17-32
41,410110,2,23,1,0,0,0,17-32
6,63008,2,56,1,0,0,0,49-64
30,300090,1,42,1,0,1,1,33-48
27,270006,1,57,2,0,0,0,49-64
6,62550,2,42,1,0,0,0,33-48
18,180081,1,21,1,0,0,0,17-32
42,420146,1,33,2,0,1,0,33-48
28,280236,1,26,1,0,0,0,17-32
8,80445,1,23,1,1,1,1,17-32
26,260173,1,26,1,0,0,0,17-32
1,10761,2,19,1,0,0,0,17-32
39,390033,1,32,1,0,0,0,17-32
37,370767,1,36,1,0,0,0,33-48
6,61093,2,39,1,0,0,0,33-48
51,510492,0,60,1,1,0,0,49-64
37,370481,3,2,1,0,0,0,0-16
6,61799,1,22,1,0,0,1,17-32
42,420035,1,57,2,0,1,0,49-64
56,560042,0,7,2,0,0,1,0-16
13,130480,1,61,1,0,0,0,49-64
12,121584,1,21,1,0,0,0,17-32
12,120081,2,50,1,0,0,0,49-64
28,280143,1,65,1,0,0,0,65 and Above
6,60913,2,58,2,0,0,0,49-64
16,160007,1,33,1,1,1,1,33-48
45,450857,2,62,1,0,0,0,49-64
4,40696,4,69,1,0,0,0,65 and Above
32,320136,2,55,1,1,0,1,49-64
39,390485,2,38,2,0,0,0,33-48
12,120350,2,43,1,0,0,0,33-48
28,280494,1,31,1,0,0,1,17-32
22,220108,0,88,1,0,0,1,65 and Above
37,370037,0,35,1,1,0,1,33-48
12,120310,2,56,1,0,0,0,49-64
37,370630,1,72,2,0,0,1,65 and Above
21,210562,1,58,1,0,0,1,49-64
39,390825,1,27,1,1,1,1,17-32
18,180679,1,17,1,1,1,0,17-32
33,330101,1,45,1,0,1,1,33-48
20,200031,1,33,1,1,0,1,33-48
13,130685,1,68,1,0,0,0,65 and Above
39,390158,1,51,2,0,0,0,49-64
12,122731,4,61,2,0,0,0,49-64
26,260529,1,28,1,0,0,1,17-32
6,61972,1,24,1,1,0,1,17-32
26,260727,1,56,2,0,0,0,49-64
21,210159,2,48,1,0,0,0,33-48
8,80192,1,15,2,0,0,0,0-16
26,260218,2,27,1,0,0,0,17-32
8,80231,2,30,2,0,0,0,17-32
6,62482,2,21,1,1,0,0,17-32
39,390555,1,35,1,0,0,0,33-48
6,61652,1,25,2,0,0,0,17-32
12,122498,0,65,1,0,0,1,65 and Above
40,400297,2,60,1,0,0,1,49-64
27,270218,2,56,1,0,0,0,49-64
24,240252,3,47,1,0,0,0,33-48
37,370744,0,74,1,0,0,1,65 and Above
21,210101,2,63,1,0,0,0,49-64
37,370945,2,46,1,0,0,0,33-48
12,121473,2,43,1,0,0,0,33-48
40,400593,2,32,2,0,0,0,17-32
26,260177,2,34,1,0,0,1,33-48
22,220412,2,20,2,0,0,0,17-32
12,122299,2,22,1,0,0,0,17-32
32,320033,2,18,2,0,1,1,17-32
34,340353,2,42,1,0,0,0,33-48
42,420228,1,38,1,0,0,0,33-48
6,61950,1,53,1,0,0,0,49-64
12,120039,1,44,1,0,0,1,33-48
19,190225,0,50,2,0,0,1,49-64
48,482914,1,36,1,0,0,0,33-48
6,61799,3,21,1,0,0,0,17-32
47,470837,1,25,1,1,1,1,17-32
22,220678,1,57,2,0,0,0,49-64
26,260070,2,53,1,0,0,0,49-64
6,60408,2,35,1,0,0,0,33-48
6,61457,2,65,2,0,0,1,65 and Above
30,300199,2,50,2,0,0,0,49-64
45,450472,2,26,1,0,0,0,17-32
48,482102,0,41,1,0,0,1,33-48
36,360949,1,57,1,0,0,0,49-64
12,121327,1,53,1,0,0,0,49-64
39,390856,1,17,1,0,0,1,17-32
4,40474,2,42,1,0,0,0,33-48
18,180479,2,62,1,0,0,0,49-64
6,61699,2,22,1,0,0,1,17-32
10,100109,1,27,1,1,1,1,17-32
23,230102,1,79,2,0,0,0,65 and Above
45,450912,1,42,1,0,0,0,33-48
48,481404,1,30,1,0,1,0,17-32
42,420679,1,20,1,1,1,0,17-32
39,390566,1,18,1,0,0,0,17-32
47,470716,2,39,1,0,0,0,33-48
12,120897,2,46,1,0,0,1,33-48
8,80126,2,34,2,0,0,1,33-48
12,120617,0,28,1,0,0,0,17-32
26,260066,1,23,2,0,0,0,17-32
47,470286,0,73,1,1,0,1,65 and Above
13,131300,1,72,1,0,0,1,65 and Above
12,121344,1,31,1,0,0,0,17-32
39,390724,2,58,1,0,0,1,49-64
28,280064,1,50,1,0,0,1,49-64
17,170952,6,47,1,0,0,0,33-48
45,450385,1,36,1,0,0,0,33-48
47,470575,2,63,2,0,0,0,49-64
4,40324,1,23,2,0,0,0,17-32
46,460003,1,54,1,0,0,1,49-64
6,62347,3,18,2,0,0,0,17-32
13,131029,1,64,1,0,0,1,49-64
34,340267,1,89,2,0,0,1,65 and Above
8,80446,1,19,1,0,0,0,17-32
8,80388,2,1,2,0,0,0,0-16
51,510221,1,50,1,1,0,1,49-64
6,62861,2,24,2,0,0,0,17-32
10,100111,2,39,1,1,1,0,33-48
37,370442,1,49,1,0,0,1,49-64
6,62866,1,57,1,0,0,0,49-64
17,170500,1,23,1,0,0,1,17-32
40,400301,1,16,1,0,0,0,0-16
20,200273,0,6,2,0,0,0,0-16
45,450563,2,54,1,0,0,0,49-64
16,160029,2,73,1,0,0,0,65 and Above
6,61778,2,36,1,0,0,0,33-48
12,121340,1,87,2,0,0,0,65 and Above
6,61711,1,39,1,1,0,1,33-48
12,120985,2,40,1,0,0,1,33-48
34,340077,0,71,1,0,1,0,65 and Above
47,470109,4,67,2,0,0,0,65 and Above
9,90203,1,47,1,0,0,0,33-48
42,420841,2,56,2,0,0,0,49-64
38,380071,2,55,1,0,0,0,49-64
42,420803,1,77,2,0,0,1,65 and Above
47,470568,3,45,1,0,0,0,33-48
22,220050,2,57,1,1,1,1,49-64
6,61918,2,42,1,0,0,0,33-48
41,410319,0,70,1,0,0,0,65 and Above
6,61842,1,33,1,0,1,1,33-48
12,122233,0,35,1,1,1,1,33-48
47,470834,1,20,1,0,0,0,17-32
39,390066,1,39,1,0,0,1,33-48
48,480614,1,36,2,0,1,1,33-48
42,420962,0,63,2,0,0,0,49-64
1,10727,3,52,2,0,0,0,49-64
45,450439,1,23,1,0,0,1,17-32
18,180039,1,40,1,0,0,0,33-48
6,60072,2,58,1,0,0,0,49-64
47,470533,2,17,1,0,0,0,17-32
26,260204,2,77,2,0,0,0,65 and Above
28,280308,2,67,2,0,0,1,65 and Above
21,210334,1,65,2,0,0,0,65 and Above
26,260391,2,19,2,0,0,0,17-32
12,121616,2,56,1,0,0,0,49-64
17,170334,2,76,1,0,0,0,65 and Above
8,80214,1,30,2,1,0,0,17-32
18,180491,2,28,1,0,0,0,17-32
45,450647,1,57,1,0,0,0,49-64
18,180450,2,56,1,0,0,0,49-64
22,220095,3,73,1,0,0,0,65 and Above
47,470841,1,34,1,0,0,0,33-48
21,210605,1,56,1,1,0,0,49-64
12,121276,2,30,1,0,0,0,17-32
26,260329,1,46,1,0,0,0,33-48
6,62271,2,41,1,0,0,0,33-48
45,450712,1,31,1,0,0,1,17-32
6,61542,1,48,1,1,0,0,33-48
13,131079,2,55,1,0,0,0,49-64
6,60277,1,21,1,1,0,1,17-32
1,10736,1,20,2,0,0,0,17-32
47,470069,1,38,2,0,0,0,33-48
9,90178,1,44,1,0,0,0,33-48
12,120326,1,27,2,0,0,0,17-32
12,122092,1,45,1,0,0,0,33-48
34,340232,2,27,1,0,0,1,17-32
20,200178,0,19,1,1,0,1,17-32
12,122220,2,22,1,0,0,0,17-32
12,120462,3,37,1,0,0,0,33-48
18,180537,2,59,1,0,0,1,49-64
30,300052,1,24,2,0,0,1,17-32
12,122705,2,60,2,0,0,0,49-64
26,260278,2,17,2,0,0,0,17-32
6,62928,1,57,1,0,0,0,49-64
26,260895,1,22,1,0,0,0,17-32
6,60539,2,52,1,0,0,0,49-64
47,470759,0,46,1,0,0,0,33-48
27,270004,2,50,1,0,0,1,49-64
30,300005,2,62,1,0,0,1,49-64
17,170941,1,49,1,1,1,1,49-64
51,510516,1,67,1,0,0,0,65 and Above
21,210590,1,43,1,1,0,1,33-48
12,122494,1,70,1,0,0,0,65 and Above
54,540172,1,34,2,0,0,0,33-48
6,62236,1,61,1,0,0,0,49-64
31,310030,1,44,1,0,0,1,33-48
34,340019,1,57,1,0,0,0,49-64
12,122663,0,17,1,0,0,0,17-32
30,300090,1,26,1,0,0,0,17-32
32,320101,1,18,1,0,0,0,17-32
30,300202,1,32,1,0,0,0,17-32
27,270259,1,69,1,0,0,0,65 and Above
37,370988,0,19,1,1,0,0,17-32
12,121987,2,53,1,0,0,0,49-64
13,130392,1,24,1,0,0,1,17-32
34,340406,1,25,2,1,1,1,17-32
47,470915,2,50,2,0,0,0,49-64
32,320046,1,23,1,0,0,0,17-32
40,400222,0,83,2,0,0,0,65 and Above
6,61021,2,30,2,0,0,0,17-32
31,310125,2,76,2,0,0,0,65 and Above
18,180275,1,35,1,0,0,1,33-48
19,190223,0,58,1,0,0,1,49-64
37,371241,1,21,1,0,0,0,17-32
34,340321,2,62,1,0,0,1,49-64
18,180313,2,40,1,0,0,0,33-48
6,61731,1,30,2,1,0,0,17-32
48,480008,1,27,1,1,1,1,17-32
6,61515,0,14,2,0,0,0,0-16
40,400283,2,64,1,0,0,0,49-64
21,210596,1,24,1,0,0,1,17-32
22,220178,1,22,1,0,0,0,17-32
26,260018,2,51,1,0,0,0,49-64
42,420891,1,65,2,0,0,0,65 and Above
32,320091,1,50,1,0,1,0,49-64
12,120447,1,21,1,1,0,0,17-32
48,481991,1,26,1,1,0,0,17-32
6,62129,0,91,1,0,0,0,65 and Above
56,560102,1,28,1,1,1,1,17-32
51,510569,0,38,1,0,0,0,33-48
40,400055,2,56,1,0,0,0,49-64
31,310110,1,23,1,1,0,0,17-32
6,63074,0,73,1,0,0,1,65 and Above
6,62987,1,62,1,1,0,0,49-64
37,370541,1,54,2,0,0,0,49-64
30,300051,1,23,1,0,0,0,17-32
1,10587,1,35,1,0,0,1,33-48
12,122777,1,44,2,0,0,0,33-48
13,130199,2,26,2,0,0,0,17-32
48,480342,0,54,2,0,0,0,49-64
1,10771,1,69,1,0,0,0,65 and Above
24,240252,1,50,1,0,0,0,49-64
17,170948,2,67,1,0,0,0,65 and Above
6,62518,2,22,2,0,0,0,17-32
4,40317,1,83,2,0,0,0,65 and Above
45,450585,2,51,1,0,0,0,49-64
8,80002,1,23,1,0,0,0,17-32
4,40309,1,49,1,1,0,1,49-64
26,260387,1,34,2,0,0,0,33-48
25,250013,1,42,1,0,0,0,33-48
26,260650,1,54,1,0,0,0,49-64
6,63038,2,43,1,0,0,0,33-48
6,61032,0,45,2,1,0,0,33-48
22,220047,1,25,1,1,0,0,17-32
6,60217,1,45,2,0,0,0,33-48
39,390086,1,52,2,0,0,0,49-64
45,450826,2,54,1,0,0,0,49-64
42,420492,1,29,1,1,0,1,17-32
20,200248,1,60,2,0,0,1,49-64
47,470136,1,68,1,0,0,0,65 and Above
20,200284,1,80,2,0,0,0,65 and Above
32,320245,2,38,1,0,0,0,33-48
26,260562,0,34,2,0,0,0,33-48
6,61645,3,42,1,0,0,0,33-48
37,370002,1,39,1,0,0,0,33-48
48,482149,1,23,1,1,0,0,17-32
48,481587,1,61,1,0,0,1,49-64
17,170886,1,87,1,0,0,0,65 and Above
4,40684,2,54,2,0,0,0,49-64
42,420415,1,22,1,1,1,1,17-32
41,410087,1,27,1,0,0,0,17-32
56,560063,1,28,1,1,0,0,17-32
37,370726,2,37,1,0,0,0,33-48
45,450470,0,36,2,0,0,0,33-48
32,320084,1,23,1,1,0,0,17-32
37,370418,1,23,2,1,0,1,17-32
28,280308,1,24,1,0,0,0,17-32
26,260671,1,40,1,1,0,1,33-48
4,40492,0,15,1,0,0,0,0-16
18,180405,2,52,1,0,0,0,49-64
39,390444,1,24,1,0,0,0,17-32
20,200273,1,59,2,0,0,0,49-64
48,482346,1,25,2,0,0,1,17-32
42,420349,2,54,1,0,1,1,49-64
24,240253,1,83,1,0,0,0,65 and Above
9,90158,1,28,2,0,0,0,17-32
8,80427,1,36,1,0,0,0,33-48
42,420390,1,70,2,0,0,0,65 and Above
6,62163,1,27,1,0,0,0,17-32
48,480115,1,76,1,1,1,1,65 and Above
45,450072,1,22,1,0,0,0,17-32
21,210522,1,32,1,1,0,0,17-32
51,510652,1,34,1,0,0,0,33-48
6,62115,1,75,1,1,0,1,65 and Above
1,10058,2,38,2,0,0,0,33-48
12,121875,1,25,2,1,0,0,17-32
34,340527,2,30,1,0,0,0,17-32
47,470293,2,17,1,0,0,0,17-32
12,120488,1,50,1,0,0,0,49-64
22,220162,0,48,2,0,1,0,33-48
19,190084,2,31,1,0,0,1,17-32
6,61213,1,26,1,1,1,0,17-32
32,320040,2,44,1,0,0,0,33-48
47,470810,2,39,1,0,0,0,33-48
21,210630,1,26,1,1,0,0,17-32
39,390765,1,28,1,0,0,1,17-32
31,310093,2,20,2,0,0,0,17-32
6,61754,1,47,1,0,0,0,33-48
13,130061,1,17,1,0,0,1,17-32
22,220108,1,49,1,1,0,0,49-64
27,270346,1,62,1,1,0,1,49-64
28,280508,1,28,1,0,0,0,17-32
12,122031,1,33,1,0,1,1,33-48
6,60646,1,33,2,0,0,0,33-48
18,180053,3,39,1,0,0,0,33-48
48,480296,1,26,1,0,0,0,17-32
6,62456,1,27,1,0,0,0,17-32
45,450729,2,54,2,0,0,0,49-64
10,100050,1,51,1,0,0,0,49-64
47,470289,2,17,1,0,0,0,17-32
47,470643,1,27,2,0,0,0,17-32
51,510261,1,35,1,0,0,0,33-48
47,470171,1,83,2,0,0,0,65 and Above
49,490148,1,84,2,0,0,0,65 and Above
47,470863,1,54,1,0,0,1,49-64
30,300148,1,14,2,0,0,1,0-16
1,10067,4,65,1,0,0,0,65 and Above
6,61392,3,26,2,0,0,0,17-32
6,61230,2,52,1,0,0,0,49-64
28,280217,2,53,2,0,0,1,49-64
8,80152,2,77,1,0,0,0,65 and Above
45,450049,2,17,1,0,0,0,17-32
13,130622,3,42,1,0,0,0,33-48
9,90038,2,58,1,0,0,0,49-64
6,60892,2,54,1,0,0,0,49-64
37,370708,1,43,2,0,0,0,33-48
18,180062,1,79,1,1,0,1,65 and Above
39,390551,1,26,2,0,0,1,17-32
18,180348,2,32,1,0,0,0,17-32
21,210155,1,73,1,0,0,0,65 and Above
39,390537,1,60,2,0,0,0,49-64
4,40084,0,78,2,0,0,0,65 and Above
6,60525,1,25,1,0,1,0,17-32
38,380023,2,25,1,0,0,0,17-32
17,170221,1,62,1,0,0,0,49-64
37,370445,1,20,2,0,0,0,17-32
24,240269,2,46,1,0,0,0,33-48
51,510035,3,33,1,0,0,0,33-48
49,490025,1,24,1,0,0,0,17-32
47,470595,1,51,1,0,1,1,49-64
45,450066,2,21,1,0,0,0,17-32
4,40511,1,70,1,0,0,0,65 and Above
12,120829,1,23,1,0,0,0,17-32
47,470263,2,1,1,0,0,1,0-16
40,400580,2,25,1,0,0,0,17-32
45,450889,1,32,1,0,0,1,17-32
4,40301,1,30,1,1,0,1,17-32
37,371037,1,36,1,1,0,1,33-48
39,390518,2,25,2,1,0,0,17-32
6,60437,1,23,1,1,0,1,17-32
28,280109,1,17,2,0,0,1,17-32
37,370668,2,22,1,0,0,0,17-32
47,470594,1,22,1,0,0,0,17-32
12,120951,1,27,1,0,0,1,17-32
4,40053,1,80,1,0,0,0,65 and Above
46,460060,2,51,1,0,0,1,49-64
12,121131,1,81,1,0,0,1,65 and Above
39,390543,1,27,1,0,0,0,17-32
17,170473,3,74,1,0,0,0,65 and Above
31,310019,1,38,2,0,0,0,33-48
34,340249,1,87,2,0,0,0,65 and Above
24,240431,4,44,1,0,0,0,33-48
37,371207,1,70,1,0,0,0,65 and Above
47,470469,1,26,2,0,0,0,17-32
45,450597,1,58,2,1,0,1,49-64
42,420372,1,57,1,0,0,1,49-64
12,121336,2,64,1,0,0,0,49-64
6,60498,0,55,1,0,1,1,49-64
30,300105,1,36,1,1,1,0,33-48
48,481849,0,40,1,1,0,1,33-48
12,122229,3,39,1,0,0,0,33-48
2,20058,1,28,2,0,0,0,17-32
40,400407,1,44,1,0,0,0,33-48
1,10263,1,17,2,0,0,0,17-32
20,200280,1,24,1,1,0,0,17-32
24,240468,2,33,2,0,0,0,33-48
27,270036,3,79,1,0,0,0,65 and Above
12,120340,1,26,1,0,0,0,17-32
53,530160,1,32,1,1,1,1,17-32
34,340374,0,65,1,0,0,0,65 and Above
39,390195,1,79,1,0,0,1,65 and Above
51,510675,2,52,1,0,0,0,49-64
16,160125,2,39,1,0,0,0,33-48
4,40425,0,63,1,0,0,0,49-64
34,340435,0,70,1,1,0,0,65 and Above
48,482539,2,55,1,0,0,1,49-64
4,40737,3,62,1,0,0,0,49-64
45,450640,1,32,2,0,0,0,17-32
35,350272,5,44,1,0,0,0,33-48
26,260346,1,74,1,0,0,1,65 and Above
51,510083,1,69,1,0,0,1,65 and Above
39,391001,0,38,2,0,0,0,33-48
28,280144,2,21,1,0,0,0,17-32
31,310188,1,66,1,0,0,0,65 and Above
6,61568,2,12,2,0,0,0,0-16
47,470071,1,72,1,0,0,0,65 and Above
48,481715,1,35,2,0,1,0,33-48
39,390076,1,37,2,0,0,1,33-48
32,320274,1,37,1,0,0,0,33-48
12,121500,3,39,2,0,0,0,33-48
31,310203,1,50,1,0,0,0,49-64
18,180338,1,68,1,0,0,1,65 and Above
50,500036,1,42,1,0,0,0,33-48
13,131028,2,80,1,0,0,0,65 and Above
27,270012,2,40,1,0,0,0,33-48
34,340417,2,26,1,0,0,0,17-32
45,450782,2,41,1,0,0,0,33-48
48,483188,0,30,1,1,1,1,17-32
22,220140,1,21,1,1,1,0,17-32
12,121129,2,20,1,0,0,0,17-32
26,260435,1,24,1,1,1,0,17-32
42,420704,19,32,1,0,0,0,17-32
37,371064,0,56,2,0,0,0,49-64
37,370168,2,87,2,0,0,0,65 and Above
26,260327,1,23,1,0,1,1,17-32
12,120461,1,24,2,0,0,0,17-32
12,120776,1,79,1,0,0,0,65 and Above
39,390096,28,26,2,0,0,0,17-32
42,420163,1,68,2,0,0,0,65 and Above
12,121295,1,51,1,0,0,0,49-64
37,371068,2,50,1,0,0,0,49-64
12,121302,2,24,2,0,0,0,17-32
21,210574,2,29,1,0,0,0,17-32
38,380091,4,68,1,0,0,0,65 and Above
47,470321,2,57,2,0,0,1,49-64
6,61111,2,24,1,0,0,0,17-32
6,62646,1,21,1,0,0,0,17-32
51,510148,1,35,1,0,0,1,33-48
32,320038,2,64,1,0,0,0,49-64
42,420887,1,22,1,0,1,1,17-32
12,120164,1,62,1,0,0,0,49-64
48,483065,1,20,1,0,0,0,17-32
6,61199,2,54,1,0,0,0,49-64
12,121063,1,23,1,0,0,1,17-32
12,122155,1,48,1,0,1,0,33-48
24,240013,1,71,1,0,0,0,65 and Above
12,120447,0,29,1,0,0,1,17-32
9,90023,2,45,1,1,1,0,33-48
18,180098,1,52,1,1,0,1,49-64
12,121877,0,45,2,0,0,0,33-48
8,80292,1,1,2,0,0,0,0-16
8,80478,2,40,1,0,0,0,33-48
5,50398,2,56,1,0,0,1,49-64
45,450681,1,41,1,1,1,1,33-48
6,63110,0,59,1,0,0,0,49-64
54,540112,2,68,1,0,0,1,65 and Above
41,410054,1,37,1,0,0,0,33-48
26,260642,1,59,1,0,0,0,49-64
6,63073,2,46,1,0,0,0,33-48
49,490250,2,37,1,0,0,0,33-48
45,450499,1,77,1,0,0,0,65 and Above
12,122187,5,26,2,0,0,0,17-32
13,130063,1,83,2,0,0,0,65 and Above
12,120109,2,43,1,0,0,0,33-48
6,60903,0,50,1,1,1,0,49-64
38,380010,2,47,1,0,0,0,33-48
39,390604,2,32,2,0,0,0,17-32
17,170421,2,48,1,0,0,0,33-48
37,370797,1,25,1,0,0,1,17-32
47,470462,1,16,1,0,0,0,0-16
45,450734,1,83,1,0,0,0,65 and Above
49,490076,2,17,1,0,0,0,17-32
16,160070,1,18,2,0,1,0,17-32
45,450787,1,35,1,0,0,0,33-48
12,122736,1,27,1,0,0,0,17-32
6,61869,1,50,1,0,0,1,49-64
